artist_remixer,song_name,url
biolleo,AVGN Theme Thrash Metal Short Ver,https://www.youtube.com/@biolleo
hkmori,Anybody Can Find Love (Except You),https://www.youtube.com/@totheheart
Mike Morasky,Apple (Unused Track),https://x.com/MikeMorasky
Toby Fox,Battle Vapor,https://x.com/tobyfox
Coalmunist/Stahl,Blackspace Bossrush Sanguine,https://www.youtube.com/@ReynStahl
AVTechNO!,Boku-Boku (feat. Hatsune Miku),https://www.youtube.com/@AVTechNO
theinnuendo0,CL Burning In Hell old,https://www.youtube.com/@IndieCrossFNF
CDMusic (ft. Rozebud and Joan Altas),CL Despair Old,https://www.youtube.com/@IndieCrossFNF
Hakita,CL Glory,https://www.youtube.com/@Hakita
"Arsi ""Hakita"" Patala",CL Requiem Calm,https://www.youtube.com/@Hakita
ParagonX9,Chaoz Impact,https://paragonx9.newgrounds.com/
KIKIYAMA,Cold But Warm Winter,https://store.steampowered.com/app/650700/Yume_Nikki/
Funkin Sound Project,Credits,https://www.youtube.com/@FNFSoundTeam
cosmo@bousouP | dj-Jo (feat. CircusP),Disappearance dj-Jo Remix,https://www.youtube.com/@djJoMusicChannel
ANGELGUTZ vs COQUERS_,FNF Guilty V2,https://www.youtube.com/@coquers_
StahlReyn,FNF OLD ARISEN TEASER VER,https://www.youtube.com/@ReynStahl
ANGELGUTZ,FNF OLD GUILTY,https://www.youtube.com/@M1RACLEWEAVER
ANGELZGUTZ,FNF OLD REVERIE,https://www.youtube.com/@M1RACLEWEAVER
Kimakurus Music,FNF Pokemon Master,https://www.youtube.com/@kimakurusMusic
Seberster,FNF Silent Hills Retaken Sanity,https://www.youtube.com/@seberster
KawaiSprite,Freestyle,https://kawaisprite.newgrounds.com/
Odd,Furi Demake The Chain,https://x.com/AJP_B
Toby Fox,Glacier,https://x.com/tobyfox
Jami Lynne | Silvagunner (eg_9371),Good Morning HQSG,https://www.youtube.com/@OMOCAT143
Oliver Buckland,Graveyard,https://www.youtube.com/@OliverBuckland
Kinuyo Yamashita,Heart Of Fire,https://kinuyoyamashita.com/home.html
OR3O,Help Me,https://www.youtube.com/@OR3Omusic
Hot Dad,Hypnospace Is Cool,https://www.youtube.com/@HotDad
Pedro Silva | GoneGreen,It Means Everything Ambient Trance Remix,https://www.youtube.com/@OMOCAT143
Pedro Silva | ryanchang,It Means Everything Lofi hiphop chillhop Remix,https://www.youtube.com/@OMOCAT143
Creepa,LF Lost Silver,
Christopher Larkin,Lace - Hollow Knight Silksong,https://www.youtube.com/@ComposerLarkin
OR3O,Living On,https://www.youtube.com/@OR3Omusic
Pedro Silva,Lost Library,https://www.youtube.com/@OMOCAT143
Fabr,MOTORZONE,https://x.com/FNFFAN737
Adam McHummus (now as Madame McHummus) | UpTaunt,Monochrome Uptaunt Take,https://www.youtube.com/@madamemchummus
Bo En | MegaBaz + Jon SpeedArts,My Time 8-bit,https://www.youtube.com/@boenyeah
Some guy on TikTok or Twitter I dunno,New Folder,
Sock.Clip | Silvagunner,Overhead HQSG,https://gamebanana.com/members/2115605
Nightmargin,Panic,https://www.youtube.com/@NightMargins
The Musical Ghost,Porkrind Shop Electro Swing Remix,https://www.youtube.com/@The_Musical_Ghost
The_Mayz | Sergrix,Really Happy Sergrix Remix,
SolarDTM,Romantic Nights,https://www.youtube.com/@SolarDTM
metacore,Self Aware,https://www.youtube.com/channel/UCVUsJtxse-40WEdoQsL9aQg
Niko,Soulless Fanmade,https://x.com/NikoTheFurry
Hypnospace Archival Project,The Swatter Song,https://store.steampowered.com/app/844590/Hypnospace_Outlaw/
Toby Fox | Silvagunner (toonlink),Undertale Finale,https://x.com/tobyfox
